Lp.,Numer pytania,Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Poprawna odp,Media,Kategorie,Nazwa media tłumaczenie migowe (PJM) treść pyt,Nazwa media tłumaczenie migowe (PJM) treść odp A,Nazwa media tłumaczenie migowe (PJM) treść odp B,Nazwa media tłumaczenie migowe (PJM) treść odp C,Pytanie [ENG],Odpowiedź A [ENG],Odpowiedź B [ENG],Odpowiedź C [ENG],Pytanie [DE],Odpowiedź A [DE],Odpowiedź B [DE],Odpowiedź C [DE],Pytanie [UA],Odpowiedź A [UA],Odpowiedź B [UA],Odpowiedź C [UA],MediaTag
962,4495,Jaki jest cel stosowania systemu ABS w samochodzie osobowym?,Zapobieganie utracie stabilności i zapewnienie kierowalności pojazdu podczas jego hamowania.,Zapobieganie przed wpadnięciem pojazdu w poślizg - niezależnie od jego prędkości i warunków na drodze.,Ułatwianie pokonywania zakrętów.,A,,B,pjm4495.webm,pjm4495a.webm,pjm4495b.webm,pjm4495c.webm,What is the purpose of using the ABS system in a passenger car?,Preventing losing stability and ensuring steerability of the vehicle while braking.,Preventing skidding - regardless of its speed and road conditions.,Facilitating negotiating the bends.,Welchem Zweck dient das ABS-System im PKW?,Vorbeugend  damit das Fahrzeug seine Stabilität nicht verliert und die Lenkbarkeit des Fahrzeuges beim Bremsen gwährleistet ist.,Vorbeugend  damit das Fahrzeug nicht ins Schleudern gerät - unabhängig von seiner Geschwindigkeit und Straßenverhältnissen.,Es erleichtert die Bewältigung von Straßnkurven.,З якою метою застосовують систему ABS в легковому автомобілі?,Запобігання втрати стійкості (стабільності) та забезпечення керованості автомобіля при гальмуванні.,Запобігання заносу транспортного засобу - незалежно від його швидкості та дорожніх умов.,Полегшення виконання поворотів.,
963,4534,Jak należy postąpić  podczas jazdy samochodem osobowym po drodze pokrytej śniegiem?,Unikać gwałtownych ruchów kierownicą.,Odłączyć system kontroli trakcji.,Na podjazdach zwiększyć prędkość.,A,,B,pjm4534.webm,pjm4534a.webm,pjm4534b.webm,pjm4534c.webm,Which of the following actions should you take while driving a passenger car on the road covered with snow?,Avoid sudden movements of the driving wheel.,Disconnect the traction control system.,Speed up on uphill roads.,Welche der genannten Tätigkeiten ist bei der Fahrt mit einem PKW über eine mit Schnee bedeckte Straße auszuführen?,Es sind heftige Bewegungen mit dem Lenkrad zu vermeiden.,Das ESP-System ist auszuschalten.,Bei Auffahrten ist die Geschwindigkeit zu erhöhen.,Що слід зробити  їдучи легковим автомобілем по засніженій дорозі?,Уникати різких рухів керма.,Від'єднати систему контролю тяги.,Збільшити швидкість на підйомах.,
964,4538,Czy znak umieszczony pod sygnalizacją oznacza zakaz wjazdu na zwrotnicę oraz obowiązek zatrzymania się i sprawdzenia prawidłowego położenia iglic?,,,,Tak,115TRAM3org.jpg,PT,,,,,Does this sign placed under the signalling device indicate that it is prohibited to enter the railroad switch and an obligation to stop and check whether the switch rails are properly positioned?,,,,Bedeutet das unter der Ampel montierte Zeichen ein Einfahrverbot auf die Weiche sowie die Anhaltspflicht und Überprüfung der richtigen Position der gebogenen Zungen?,,,,,,,,"<img src=""115TRAM3org.jpg"">"
965,4540,Czy widoczna na jezdni linia łamana wyznacza miejsce przystanku dla tramwajów  autobusów lub trolejbusów?,,,,Tak,133TRAM3Porg3po korekcie.jpg,PT,,,,,Does the visible broken line on the roadway indicate a stop for trams  buses or trolley buses?,,,,Ist die auf der Straße sichtbare Zickzacklinie der Anhaltsort für Straßenbahnen  Busse oder Trolleys?,,,,,,,,"<img src=""133TRAM3Porg3po korekcie.jpg"">"
966,4542,Czy w tej sytuacji skręcając w lewo masz obowiązek ustąpić pierwszeństwa tramwajowi z przeciwka?,,,,Tak,018TRAM1org.webm,PT,,,,,When turning left in this situation  are you obliged to give way to the tram from the opposite direction?,,,,Sollen Sie in dieser Situation beim Linksabbiegen der Straßenbahn im Gegenverkehr die Vorfahrt gewähren?,,,,,,,,"<video src=""018TRAM1org.webm"" controls>"
967,4543,"Czy widoczny na jezdni znak ""linia łamana"" wyznacza miejsce parkingowe dla niepełnosprawnych?",,,,Nie,133TRAM3Porg3po korekcie.jpg,PT,,,,,Does the visible broken line on the road indicate a parking place for the disabled?,,,,"Steckt die auf der Straße sichtbare ""Zickzacklinie"" einen Behindertenparkplatz ab?",,,,,,,,"<img src=""133TRAM3Porg3po korekcie.jpg"">"
968,4545,Czy w tej sytuacji wykonujesz manewr wyprzedzania?,,,,Tak,027TRAM3org.webm,PT,,,,,In this situation  are you performing an overtaking manoeuvre?,,,,Führen Sie in diesem Fall das Überholmanöver aus?,,,,,,,,"<video src=""027TRAM3org.webm"" controls>"
969,4546,Czy w takiej sytuacji masz pierwszeństwo przed pieszym?,,,,Nie,045TRAM1Porg.jpg,PT,,,,,In such a situation  do you have the right of way over the pedestrian?,,,,Haben Sie in solch einer Situation Vorrang vor dem Fußgänger?,,,,,,,,"<img src=""045TRAM1Porg.jpg"">"
970,4547,Jak powinien zachować się motorniczy przy narastającym natężeniu ruchu?,Rozwinąć maksymalną prędkość  aby nadrobić możliwe opóźnienia.,Używać sygnału dźwiękowego  aby przyśpieszyć przejazd.,Zwolnić i zwiększyć odstęp od poprzedzającego tramwaju  aby obniżyć poziom ryzyka.,C,,PT,,,,,How should the tram driver behave in increasing traffic intensity?,Reach maximum speed to make up for possible delays.,Use the sound signal to speed up passage.,Slow down and increase the distance from the preceding tram to lower the level of risk.,Wie sollte sich der Straßenbahnführer bei einer zunehmenden Verkehrsdichte verhalten?,Die maximale Geschwindigkeit fahren  um den möglichen Verzug nachzuholen.,Das Schallsignal gebrauchen  um die Durchfahrt zu beschleunigen.,Langsamer fahren und den Abstand zur vorausfahrenden Straßenbahn vergrößern  um das Risiko zu vermindern.,,,,,
971,4548,"Na czym polega zjawisko ""pocenia się szyn""?",Na zmoczeniu szyn przez opady deszczu.,Na osiadaniu wilgoci na wychłodzonych szynach  głównie jesienią.,Na odparowaniu wilgoci po deszczu.,B,,PT,,,,,"""Sweating the rails"" phenomenon consists in:",wetting of the rails by rainfall.,moisture settling on cooled rails  mainly in the autumn.,evaporation of moisture after a rainfall.,"Worauf beruht das Phänomen des ""Schienenschwitzens""?",Auf Schienenbenetzung durch den Regen.,Auf der Absetzung der Feuchtigkeit auf abgekühlten Schienen  vor allem im Herbst.,Auf der Feuchtigkeitsverdunstung nach dem Regen.,,,,,
972,4549,Jak powinien zachować się kierujący tramwajem  gdy zaczyna padać deszcz?,Stosować łagodniejszy rozruch.,Stosować bardziej energiczny rozruch.,Nie zmieniać sposobu rozruchu.,A,,PT,,,,,How should the tram driver behave when it starts raining?,Apply a softer start-up.,Apply a more energetic start-up.,Do not change method of start-up.,Wie soll sich der Straßenbahnführer verhalten  wenn es zu regnen beginnt?,Langsamer anfahren.,Dynamischer anfahren.,Wie gewöhnlich anfahren.,,,,,
973,4551,Co powinien zrobić motorniczy przed wjechaniem na zwrotnicę?,Spojrzeć wyłącznie na sygnalizator wskazujący kierunek ustawienia zwrotnicy.,Spojrzeć na iglicę zwrotnicy oraz na sygnalizator wskazujący kierunek ustawienia zwrotnicy.,Spojrzeć wyłącznie w kierunku jazdy.,B,119TRAM2org.jpg,PT,,,,,What should the tram driver do before driving onto the rail switch?,Only look at the signalling device indicating the direction of the rail switch.,Look at the switch point and signalling device indicating the direction of the rail switch.,Only look in the direction of travel.,Was soll der Straßenbahnführer vor dem Befahren der Weiche tun?,Ausschließlich auf den Signalmelder mit der Einstellungsrichtung der Weiche schauen.,Auf die Weichenzunge und auf den Signalmelder mit der Einstellungsrichtung der Weiche schauen.,Ausschließlich in der Fahrtrichtung schauen.,,,,,"<img src=""119TRAM2org.jpg"">"
974,4552,Co powinien zrobić motorniczy widząc sygnalizator informujący o przestawieniu zwrotnicy w prawo?,Spojrzeć na iglice zwrotnicy  aby upewnić się  że jest przestawiona w odpowiednim kierunku.,Kierować się wyłącznie wskazaniem sygnalizatora.,W każdym przypadku zatrzymać tramwaj i wyjść do zwrotnicy.,A,119TRAM2org.jpg,PT,,,,,What should the tram driver do  seeing the signalling device indicating a change in the position of the rail switch to the right?,Take a look at the switch points to make sure it is positioned in the right direction.,Exclusively follow the indication of the signalling device.,In any case  stop the tram and go out to the rail switch.,Was soll der Straßenbahnführer tun  wenn er den Signalmelder mit der Weichenstellung rechts sieht?,Er soll auf die Weichenzunge schauen  um sich zu vergewissern  dass die Weiche in richtiger Richtung gestellt ist.,Er soll sich ausschließlich nach dem Signalmelder richten.,In jedem Fall soll er die Straßenbahn anhalten und zur Weiche aussteigen.,,,,,"<img src=""119TRAM2org.jpg"">"
975,4553,Na czym polega prawidłowa technika kierowania tramwajem?,Na możliwie długim rozruchu  możliwie krótkim wybiegu i łagodnym hamowaniu.,Na łagodnym rozruchu  możliwie długim wybiegu i gwałtownym hamowaniu.,Na łagodnym rozruchu  możliwie długim wybiegu i łagodnym hamowaniu.,C,,PT,,,,,What does the proper technique of driving a tram consist of?,Starting-up as long as possible  coasting as short as possible and gentle braking.,A gentle start-up  coasting as long as possible and sudden braking.,A gentle start-up  coasting as long as possible and gentle braking.,Worauf beruht eine richtige Führungstechnik mit der Straßenbahn?,Auf möglichst langem Anfahren  möglichst kurzem Auslauf und sanftem Bremsen.,Auf ruhigem Anfahren  möglichst langem Auslauf und starkem Bremsen.,Auf ruhigem Anfahren  möglichst langem Auslauf und sanftem Bremsen.,,,,,
976,4562,Kto podlega odpowiedzialności karnej w przypadku nieudzielenia pomocy poszkodowanemu w wypadku drogowym z bezpośrednim zagrożeniu utraty zdrowia i życia?,Każda osoba  która mogła udzielić pomocy bez narażenia siebie lub innej osoby na niebezpieczeństwo utraty życia lub ciężkiego uszczerbku zdrowia.,Tylko lekarz.,Tylko uczestnik wypadku drogowego.,A,,B B1,pjm4562.webm,pjm4562a.webm,pjm4562b.webm,pjm4562c.webm,In the case of not giving first aid to the road accident casualty who is in life endangerment situation the criminal responsibility is on:,any person who could have given them first aid without endangering their own or others' safety.,only on a doctor.,only on a road accident participant.,Wer unterliegt der strafrechtlichen Haftung bei Verweigerung der Hilfeleistung einem Betroffenen im Straßenverkehrsunfall in direkter Gesundheitsgefährdung und Lebensgefahr?,Jede Person  die Hilfe hätte leisten können  ohne sich selbst oder eine andere Person in Lebensgefahr bzw. schwere Gesundheitsgefahr gebracht zu haben.,Nur der Arzt.,Nur eine am Verkehrsunfall beteiligte Person.,Хто несе кримінальну відповідальність у разі ненадання допомоги потерпілому в ДТП з безпосередньою загрозою для здоров’я та життя?,Кожна особа  яка могла надати допомогу  не наражаючи себе чи іншу особу на ризик втрати життя чи серйозної шкоди здоров’ю  але цього не зробила.,Тільки лікар.,Тільки учасник ДТП.,
977,4563,Jak należy postąpić z poszkodowanym w wypadku drogowym  znajdującym się w pojeździe?,Należy go ewakuować z pojazdu - w każdym przypadku.,Należy go ewakuować z pojazdu - w przypadku stwierdzenia u niego zatrzymania akcji serca.,Należy go zawsze pozostawić w pojeździe - do czasu przybycia lekarza.,B,,B B1,pjm4563.webm,pjm4563a.webm,pjm4563b.webm,pjm4563c.webm,The car accident casualty who is in the vehicle should be:,evacuated from the vehicle - in all cases.,evacuated  from the vehicle - in case of stating a cardiac arrest in them.,always left in the vehicle - till the coming of a doctor.,Ein Opfer im Verkehrsunfall  das sich im Fahrzeug befindet  ist:,Aus dem Fahrzeug zu evakuieren - in jedem Fall.,Aus dem Fahrzeug zu evakuieren  wenn man bei ihm Herzstillstand festgestellt hat.,Immer im Fahrzeug zu belassen  bis der Arzt kommt.,Як поводитися з особою  постраждалою в ДТП  яка перебуває в транспортному засобі?,Таку особу треба евакуювати з транспортного засобу – у будь-якому випадку.,Таку особу потрібно евакуювати з транспортного засобу – якщо у неї діагностовано зупинку серця.,Таку особу слід завжди залишати в транспортному засобі до приїзду лікаря.,
978,4568,Czy  ograniczenie prędkości określone przez ten znak obowiązuje motorniczego wyłącznie do najbliższego skrzyżowania bądź przecięcia torów  o ile inne znaki nie nakażą inaczej?,,,,Tak,166TRAM1org.jpg,PT,,,,,Does the speed limit defined by this sign apply to the tram driver exclusively to the nearest junction or rail intersection  provided the signs do not instruct otherwise?,,,,Gilt die durch dieses Zeichen eingeführte Geschwindigkeitsbeschränkung nur bis zur nächsten Kreuzung bzw. Gleisüberschneidung  soweit andere Zeichen es nicht anders anordnen?,,,,,,,,"<img src=""166TRAM1org.jpg"">"
979,4569,Czy w tej sytuacji masz prawo wjechać za sygnalizator?,,,,Nie,149TRAM1orgpo korkecie.jpg,PT,,,,,In this situation  are you allowed to enter beyond the signalling device?,,,,Darf man in dieser Situation hinter die Ampel fahren?,,,,,,,,"<img src=""149TRAM1orgpo korkecie.jpg"">"
